x,y,z
257,111.60000610351562,a
257,110.60000610351562,a
257,110.60000610351562,a
257,109.60000610351562,a
258,109.60000610351562,a
258,108.60000610351562,a
259,108.60000610351562,a
259,108.60000610351562,a
260,108.60000610351562,a
260,107.60000610351562,a
261,107.60000610351562,a
261,106.60000610351562,a
261,106.60000610351562,a
262,106.60000610351562,a
262,105.60000610351562,a
262,104.60000610351562,a
263,104.60000610351562,a
264,104.60000610351562,a
265,104.60000610351562,a
265,104.60000610351562,a
265,103.60000610351562,a
266,102.60000610351562,a
267,102.60000610351562,a
268,101.60000610351562,a
269,100.60000610351562,a
269,100.60000610351562,a
270,99.60000610351562,a
271,98.60000610351562,a
273,98.60000610351562,a
273,98.60000610351562,a
274,97.60000610351562,a
275,97.60000610351562,a
276,97.60000610351562,a
276,96.60000610351562,a
277,96.60000610351562,a
278,96.60000610351562,a
279,96.60000610351562,a
280,96.60000610351562,a
281,95.60000610351562,a
281,95.60000610351562,a
282,95.60000610351562,a
284,94.60000610351562,a
285,93.60000610351562,a
286,92.60000610351562,a
287,92.60000610351562,a
288,92.60000610351562,a
289,92.60000610351562,a
290,92.60000610351562,a
292,91.60000610351562,a
293,90.60000610351562,a
294,90.60000610351562,a
295,89.60000610351562,a
296,88.60000610351562,a
297,88.60000610351562,a
298,88.60000610351562,a
299,88.60000610351562,a
300,88.60000610351562,a
301,87.60000610351562,a
301,87.60000610351562,a
302,87.60000610351562,a
303,86.60000610351562,a
304,86.60000610351562,a
305,86.60000610351562,a
305,85.60000610351562,a
306,85.60000610351562,a
307,84.60000610351562,a
308,84.60000610351562,a
309,84.60000610351562,a
309,84.60000610351562,a
310,84.60000610351562,a
311,84.60000610351562,a
312,83.60000610351562,a
313,82.60000610351562,a
313,82.60000610351562,a
314,81.60000610351562,a
315,81.60000610351562,a
316,80.60000610351562,a
317,80.60000610351562,a
318,80.60000610351562,a
320,80.60000610351562,a
321,79.60000610351562,a
321,79.60000610351562,a
323,79.60000610351562,a
324,78.60000610351562,a
325,77.60000610351562,a
327,76.60000610351562,a
329,76.60000610351562,a
329,76.60000610351562,a
330,76.60000610351562,a
331,76.60000610351562,a
332,76.60000610351562,a
333,75.60000610351562,a
333,75.60000610351562,a
334,75.60000610351562,a
339,73.60000610351562,a
340,73.60000610351562,a
341,73.60000610351562,a
341,72.60000610351562,a
342,72.60000610351562,a
343,72.60000610351562,a
343,72.60000610351562,a
345,71.60000610351562,a
345,71.60000610351562,a
346,71.60000610351562,a
347,71.60000610351562,a
349,71.60000610351562,a
349,70.60000610351562,a
350,70.60000610351562,a
352,69.60000610351562,a
353,69.60000610351562,a
353,69.60000610351562,a
355,68.60000610351562,a
356,68.60000610351562,a
357,68.60000610351562,a
357,68.60000610351562,a
358,68.60000610351562,a
359,68.60000610351562,a
360,68.60000610351562,a
361,68.60000610351562,a
362,68.60000610351562,a
363,68.60000610351562,a
365,68.60000610351562,a
366,68.60000610351562,a
367,68.60000610351562,a
368,68.60000610351562,a
369,68.60000610351562,a
369,68.60000610351562,a
371,68.60000610351562,a
372,68.60000610351562,a
373,68.60000610351562,a
373,68.60000610351562,a
375,68.60000610351562,a
377,68.60000610351562,a
377,68.60000610351562,a
378,68.60000610351562,a
380,68.60000610351562,a
381,68.60000610351562,a
382,68.60000610351562,a
383,68.60000610351562,a
385,69.60000610351562,a
385,69.60000610351562,a
387,70.60000610351562,a
389,70.60000610351562,a
391,72.60000610351562,a
392,72.60000610351562,a
393,72.60000610351562,a
394,72.60000610351562,a
395,72.60000610351562,a
397,73.60000610351562,a
397,73.60000610351562,a
398,74.60000610351562,a
400,74.60000610351562,a
401,74.60000610351562,a
401,74.60000610351562,a
402,74.60000610351562,a
404,75.60000610351562,a
405,76.60000610351562,a
406,76.60000610351562,a
407,76.60000610351562,a
409,76.60000610351562,a
410,76.60000610351562,a
410,76.60000610351562,a
412,77.60000610351562,a
413,78.60000610351562,a
414,78.60000610351562,a
415,79.60000610351562,a
417,80.60000610351562,a
419,80.60000610351562,a
421,81.60000610351562,a
422,81.60000610351562,a
423,82.60000610351562,a
424,82.60000610351562,a
425,82.60000610351562,a
426,83.60000610351562,a
427,83.60000610351562,a
428,84.60000610351562,a
429,84.60000610351562,a
430,85.60000610351562,a
431,86.60000610351562,a
432,86.60000610351562,a
433,86.60000610351562,a
434,87.60000610351562,a
435,87.60000610351562,a
437,88.60000610351562,a
437,88.60000610351562,a
439,88.60000610351562,a
441,90.60000610351562,a
442,90.60000610351562,a
443,91.60000610351562,a
443,92.60000610351562,a
444,92.60000610351562,a
445,92.60000610351562,a
445,92.60000610351562,a
445,93.60000610351562,a
447,94.60000610351562,a
449,94.60000610351562,a
449,95.60000610351562,a
451,96.60000610351562,a
451,96.60000610351562,a
452,96.60000610351562,a
453,96.60000610351562,a
454,97.60000610351562,a
455,98.60000610351562,a
457,98.60000610351562,a
457,99.60000610351562,a
458,100.60000610351562,a
458,100.60000610351562,a
459,100.60000610351562,a
460,101.60000610351562,a
460,102.60000610351562,a
461,102.60000610351562,a
461,104.60000610351562,a
463,104.60000610351562,a
463,105.60000610351562,a
464,106.60000610351562,a
465,106.60000610351562,a
